Month,Data1,Data2,Data3
2009-05,137,3.8325000000000005,3.835
2009-06,44,3.8004545454545453,3.835
2009-07,15,3.3836363636363633,3.653
2009-08,15,3.1409523809523807,2.977
2009-09,62,2.986666666666667,4.841
2009-10,332,4.007727272727273,5.045
2009-11,447,3.6630000000000003,4.848
2009-12,871,5.347727272727273,5.572
2010-01,927,5.832105263157895,5.131
2010-02,808,5.32,4.813
2010-03,551,4.290869565217391,3.869
2010-04,272,4.033809523809524,3.92
2010-05,141,4.14,4.341
2010-06,31,4.801363636363636,4.616
2010-07,6,4.626666666666667,4.923
2010-08,9,4.315,3.816
2010-09,53,3.894285714285714,3.872
2010-10,238,3.4342857142857146,4.038
2010-11,525,3.7138095238095237,4.18
2010-12,901,4.248636363636364,4.405
2011-01,954,4.4935,4.42
2011-02,742,4.092631578947369,4.037
2011-03,581,3.973913043478261,4.389
2011-04,314,4.235,4.698
2011-05,158,4.310952380952381,4.666
2011-06,39,4.536818181818182,4.374
2011-07,7,4.4235,4.145
2011-08,9,4.054782608695652,4.054
2011-09,58,3.8961904761904758,3.666
2011-10,256,3.5657142857142854,3.934
2011-11,473,3.238571428571429,3.55
2011-12,724,3.1695238095238096,2.989
2012-01,763,2.6705,2.503
2012-02,629,2.5044999999999997,2.616
2012-03,381,2.171818181818182,2.126
2012-04,292,1.9449999999999998,2.285
2012-05,99,2.4318181818181817,2.422
2012-06,32,2.455238095238095,2.824
2012-07,5,2.9533333333333336,3.209
2012-08,9,2.8382608695652176,2.799
2012-09,61,2.8478947368421053,3.32
2012-10,262,3.317391304347826,3.692
2012-11,541,3.5404761904761903,3.561
2012-12,699,3.3415,3.351
2013-01,829,3.3285714285714287,3.339
2013-02,734,3.3299999999999996,3.486
2013-03,661,3.8095,4.024
2013-04,348,4.166363636363636,4.343
2013-05,136,4.041363636363636,3.984
2013-06,26,3.8259999999999996,3.565
2013-07,5,3.622727272727273,3.446
2013-08,12,3.4254545454545453,3.581
2013-09,60,3.62,3.56
2013-10,258,3.677826086956522,3.581
2013-11,573,3.6380000000000003,3.954
2013-12,830,4.239047619047619,4.23
2014-01,971,4.713333333333334,4.943
2014-02,800,6.000526315789474,4.609
2014-03,684,4.903333333333333,4.371
2014-04,325,4.657619047619048,4.815
2014-05,127,4.581904761904762,4.542
2014-06,28,4.5876190476190475,4.461
2014-07,10,4.050909090909091,3.841
2014-08,13,3.912380952380952,4.065
2014-09,58,3.923809523809524,4.121
2014-10,221,3.781739130434783,3.873
2014-11,615,4.122631578947368,4.088
2014-12,707,3.4818181818181815,2.889
2015-01,892,2.9945,2.691
2015-02,869,2.874736842105263,2.734
2015-03,586,2.830909090909091,2.64
2015-04,301,2.609047619047619,2.751
2015-05,119,2.85,2.642
2015-06,24,2.7836363636363637,2.832
2015-07,6,2.8395652173913044,2.716
2015-08,11,2.7738095238095237,2.689
2015-09,32,2.6609090909090907,2.524
2015-10,228,2.340909090909091,2.321
2015-11,446,2.0923809523809522,2.235
2015-12,582,1.929565217391304,2.337
2016-01,872,2.282380952380952,2.298
2016-02,630,1.9890476190476192,1.711
