Date,Value
201813,4293
201901,862
201902,722
201903,634
201904,289
201905,159
201906,34
201907,5
201908,10
201909,41
201910,255
201911,591
201912,718
201913,4320
202001,741
202002,654
202003,485
202004,360
202005,157
202006,26
202007,5
202008,7
202009,58
202010,248
202011,423
202012,752
202013,3916
202101,805
202102,794
202103,508
202104,308
202105,151
202106,12
202107,5
202108,6
202109,40
202110,180
202111,509
202112,616
202113,3934
202201,912
202202,709
202203,524
202204,342
202205,123
202206,26
202207,4
202208,6
202209,44
202210,257
202211,512
202212,782
202213,4240
202301,715
202302,620
202303,586
202304,296
202305,146
202306,44
202307,5
